代码,名称,现价,涨停日,回调天数,信号强度,操作建议,买入逻辑
002088,鲁阳节能,11.47,2026-01-12,4,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.31
600784,鲁银投资,7.1,2026-01-09,5,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.42
605162,新中港,9.14,2026-01-12,4,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.30
600748,上实发展,6.04,2026-01-09,5,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.45
000612,焦作万方,12.65,2026-01-12,4,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.51
002659,凯文教育,6.4,2026-01-12,4,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.60
603608,天创时尚,9.26,2026-01-12,4,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.36
002194,武汉凡谷,14.07,2026-01-14,2,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.52
600640,国脉文化,13.88,2026-01-12,4,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.66
002187,广百股份,8.24,2026-01-09,5,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.71
603687,大胜达,10.72,2026-01-14,2,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.51
600152,维科技术,7.72,2026-01-12,4,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.60
600372,中航机载,14.37,2026-01-08,6,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.38
002207,准油股份,8.26,2026-01-13,3,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.52
600694,大商股份,18.89,2026-01-12,4,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.24
600965,福成股份,5.96,2026-01-12,4,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.56
002429,兆驰股份,9.19,2026-01-14,2,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.62
603878,武进不锈,8.08,2026-01-08,6,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.25
002029,七 匹 狼,12.47,2026-01-09,5,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.45
002366,融发核电,8.18,2026-01-08,6,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.51
688586,江航装备,14.44,2026-01-09,5,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.33
001330,博纳影业,8.23,2026-01-13,3,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.78
002103,广博股份,9.77,2026-01-12,4,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.35
603339,四方科技,14.09,2026-01-12,4,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.43
002023,海特高新,14.09,2026-01-08,6,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.44
600172,黄河旋风,6.13,2026-01-08,6,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.21
002600,领益智造,16.51,2026-01-12,4,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.43
603333,尚纬股份,8.38,2026-01-08,6,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.39
002171,楚江新材,14.42,2026-01-12,4,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.55
002677,浙江美大,9.15,2026-01-08,6,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.53
000798,中水渔业,10.98,2026-01-07,7,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.36
605303,园林股份,17.95,2026-01-07,7,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.46
000905,厦门港务,12.88,2026-01-07,7,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.38
603169,兰石重装,11.64,2026-01-08,6,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.53
