代码,名称,现价,涨跌幅,换手率,量比,买入信号强度,操作建议
002088,鲁阳节能,11.35,6.77%,2.65%,4.8,95%,【重仓突击】主力洗盘彻底，倍量突破确认，预计主升浪开启。
002203,海亮股份,14.05,10.02%,2.78%,2.37,95%,【重仓突击】主力洗盘彻底，倍量突破确认，预计主升浪开启。
601858,中国科传,19.52,5.23%,1.95%,2.48,95%,【重仓突击】主力洗盘彻底，倍量突破确认，预计主升浪开启。
002119,康强电子,18.68,5.66%,18.35%,2.56,95%,【重仓突击】主力洗盘彻底，倍量突破确认，预计主升浪开启。
600215,派斯林,8.46,10.01%,16.08%,4.09,95%,【重仓突击】主力洗盘彻底，倍量突破确认，预计主升浪开启。
600633,浙数文化,13.94,4.65%,3.84%,2.8,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
000554,泰山石油,6.81,3.03%,13.31%,2.61,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
603739,蔚蓝生物,15.3,4.79%,4.49%,2.33,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
002103,广博股份,9.48,2.93%,7.61%,2.26,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
000803,山高环能,8.19,4.6%,11.59%,3.21,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
001219,青岛食品,14.69,3.23%,3.39%,2.19,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
002090,金智科技,12.92,4.36%,12.58%,2.33,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
000531,穗恒运Ａ,6.87,3.31%,3.08%,2.88,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
600571,信雅达,16.61,3.75%,5.47%,2.15,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
600789,鲁抗医药,9.38,1.19%,4.27%,2.05,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
002467,二六三,6.36,2.91%,5.91%,2.02,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
603300,海南华铁,8.05,4.01%,9.58%,1.99,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
000006,深振业Ａ,10.15,2.32%,4.72%,1.92,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
601789,宁波建工,5.27,2.93%,5.98%,1.98,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
603161,科华控股,14.17,2.09%,3.95%,1.98,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
002575,群兴玩具,6.47,3.03%,7.9%,2.24,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
601608,中信重工,7.5,1.21%,7.08%,4.43,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
603729,龙韵股份,16.92,4.44%,7.17%,2.32,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
