代码,名称,现价,涨跌幅,RSI14,量能,强度,实战复盘建议
002088,鲁阳节能,11.35,6.77%,67.78,倍量进攻,90%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
603108,润达医疗,17.94,9.99%,73.8,倍量进攻,90%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
002962,五方光电,14.95,1.49%,67.92,倍量进攻,90%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
603703,盛洋科技,17.18,3.0%,60.9,倍量进攻,90%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
000554,泰山石油,6.81,3.03%,70.19,倍量进攻,90%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
600007,中国国贸,19.95,1.68%,72.34,倍量进攻,90%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
603725,天安新材,9.43,0.32%,65.42,倍量进攻,90%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
603970,中农立华,13.09,0.31%,60.19,倍量进攻,90%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
600643,爱建集团,5.66,2.17%,70.48,倍量进攻,90%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
600521,华海药业,18.6,2.88%,72.79,倍量进攻,90%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
600530,交大昂立,6.77,1.96%,65.18,倍量进攻,90%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
002221,东华能源,8.32,2.59%,61.07,倍量进攻,90%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
002510,天汽模,7.79,0.0%,62.28,倍量进攻,90%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
002911,佛燃能源,12.44,1.3%,65.25,倍量进攻,90%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
600737,中粮糖业,17.24,2.19%,64.86,倍量进攻,90%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
601968,宝钢包装,5.51,3.96%,62.18,倍量进攻,90%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
600135,乐凯胶片,11.87,-6.68%,72.09,倍量进攻,90%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
601952,苏垦农发,9.31,1.2%,72.31,倍量进攻,90%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
002973,侨银股份,13.84,-1.84%,62.91,倍量进攻,90%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
002123,梦网科技,13.68,4.83%,63.61,倍量进攻,90%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
000917,电广传媒,12.06,10.04%,69.9,倍量进攻,90%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
002419,天虹股份,6.03,7.1%,54.14,倍量进攻,85%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
002277,友阿股份,8.12,0.12%,68.12,缩量蓄势,85%,【精选观察】缩量蓄势阶段，建议根据分时图择机轻仓入场。
600198,大唐电信,10.63,-2.57%,71.88,缩量蓄势,85%,【精选观察】缩量蓄势阶段，建议根据分时图择机轻仓入场。
603528,多伦科技,11.2,-0.18%,60.81,缩量蓄势,85%,【精选观察】缩量蓄势阶段，建议根据分时图择机轻仓入场。
002810,山东赫达,14.95,-1.71%,69.22,缩量蓄势,85%,【精选观察】缩量蓄势阶段，建议根据分时图择机轻仓入场。
002467,二六三,6.36,2.91%,78.72,倍量进攻,85%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
002671,龙泉股份,5.44,-1.09%,68.69,缩量蓄势,85%,【精选观察】缩量蓄势阶段，建议根据分时图择机轻仓入场。
000050,深天马Ａ,10.25,7.11%,80.0,倍量进攻,85%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
605228,神通科技,16.67,-1.83%,72.07,缩量蓄势,85%,【精选观察】缩量蓄势阶段，建议根据分时图择机轻仓入场。
