代码,名称,现价,涨停日,回调天数,信号强度,操作建议,买入逻辑
002728,特一药业,12.01,2026-01-26,7,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.48
600987,航民股份,7.46,2026-01-28,5,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.01
000863,三湘印象,6.23,2026-01-29,4,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.50
000554,泰山石油,8.01,2026-01-29,4,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.44
002054,德美化工,8.99,2026-01-27,6,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.00
601958,金钼股份,19.99,2026-01-26,7,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.55
600273,嘉化能源,11.33,2026-01-29,4,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.56
000815,美利云,13.91,2026-01-28,5,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.02
600371,万向德农,9.45,2026-01-30,3,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.57
000990,诚志股份,8.28,2026-01-23,7,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.29
600354,敦煌种业,7.15,2026-01-30,3,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.73
601600,中国铝业,13.44,2026-01-28,5,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.00
